API,LATERAL_LENGTH_BLEND,PROP_PER_FOOT,WATER_PER_FOOT,GOR_30,GOR_60,GOR_90
05123392060000,4538,782.6669,1147.502,1910.342940532652,1935.513126491646,2009.6718480138159
05123392090000,4336,859.3034,572.6013,2210.4936355169198,1954.287259940492,2639.966969446738
05123392150000,3964,1177.367,792.5425,2162.548175017002,2352.574880129522,2383.2911175031118
05123392320000,4817,520.6624,793.9308,3024.066182000501,3088.025709095989,3260.808646917534
05123392890000,4243,996.9543,931.9251,1148.496240601503,1048.524844720496,1101.81962373882
05123394300000,4732,484.2558,822.1665,2496.902210314802,2625.776096235933,2626.3379600856288
05123395040000,5433,542.9658,820.5637,2285.097597597597,3522.688946803617,3158.111070515162
05123396860000,8789,976.6139999999999,607.6148,1006.994025936179,989.2690513219279,992.1500836001919
05123396980000,4375,1010.706,689.2102,1190.350699371579,1143.860028080786,1141.51094074429
05123397310000,4072,1178.137,760.3135,1943.6972161401309,2035.828025477707,2210.447273914462
05123417320000,9091,,,1730.0880477684439,1774.304873600628,1855.5732617629792
05123397520000,6457,,,2284.624746450304,2551.116173120728,2842.322948096416
05123417530000,9542,,,2656.119900083263,2731.679169070975,2649.2876759354613
05123417620000,3693,751.682,977.8615,2713.771377137713,2921.140508605188,3242.1363815530153
05123417680000,6986,646.3004,1144.3139999999999,2294.261294261294,2246.546076057541,2032.95711060948
05123417900000,5291,306.5375,1588.338,2907.6596497434994,2849.3142353191606,2945.065460397546
05123418480000,7201,1145.595,963.1866,3022.809457579972,3032.7323738764476,3331.7529880478082
05123398310000,4414,567.4411,786.5374,924.201529464687,915.584805866089,983.047426841574
05123420170000,5108,783.1862,1162.062,2465.965914889274,2530.512698160224,2613.161819537658
05123399300000,4052,,,2014.130680533574,2043.499142367066,1914.042416452442
05123400160000,3420,1164.093,859.0923,1615.160615160615,1808.3363234062908,1961.721558340619
05123401060000,4334,940.3482,1661.797,0.0,0.0,0.0
05123403840000,4218,901.8594,540.3244,3340.265328074578,3861.013781826676,3440.5318291700237
05123404270000,9414,,,1913.286004056795,1974.820364797641,1909.7473666886099
05123378240000,4348,,,2228.726442033123,2056.504599211563,1984.9234393404001
05123390410000,6661,1035.844,673.1313,3223.9601848560246,3459.729339114439,3626.835617111143
05123408270000,7219,1544.013,780.0528,1573.291974866778,1573.291974866778,1573.291974866778
05123408470000,4704,543.5406,755.7903,2847.638603696098,2823.34249398832,3024.3910095429433
05123378880000,4009,498.7394,808.8018,3789.394765539803,3874.215693511478,4117.276511831726
05123380500000,10716,,,2503.507051813862,2715.2951131796062,2715.2951131796062
05123380770000,10861,,,2578.837555886736,2578.837555886736,2578.837555886736
05123408990000,9473,,,4509.961894393032,4563.126767806634,4833.215014641938
05123381800000,3838,,,1492.1484653818702,1587.8323108384452,1694.966190833959
05123410080100,4610,,,1575.684518684346,1740.744349181605,1714.5419426048559
05123410700000,5553,290.394,1495.096,1519.0451245977688,1664.1756188696868,1792.794176367601
05123411550000,9357,,,2259.6879718168093,2039.054600606673,2104.548889224724
05123412050000,6436,,,3346.007604562737,3218.575757575757,3293.068875326939
05123413350000,5629,575.0169999999999,909.1825,3083.574468085106,3496.371552975326,3969.044937274245
05123413710000,4183,912.8695,690.4318,1610.207832602855,1573.1930908038212,1567.6032572811969
05123414200000,4374,978.9138,717.2703,1436.5291912158539,1495.675287962533,1622.1515089304041
05123385840000,4150,836.8342,552.1339,976.68664953849,823.156436487638,905.693658216424
